ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-417,Source3,3,2016-02-29 12:51:44,2016-02-29 13:21:44,40.002552,-83.11835500000002,,,0.01,Right lane blocked due to accident on I-270 Outerbelt Northbound at Exit 10 Roberts Rd.,Roberts Rd,Columbus,Franklin,OH,43228,US,US/Eastern,KTZR,2016-02-29 12:45:00,44.6,37.2,66.0,30.01,10.0,WSW,17.3,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-594,Source2,3,2016-03-10 16:41:06,2016-03-10 17:26:06,39.59670300000001,-84.238388,,,0.01,Accident on I-75 Northbound at Exit 41 Austin Blvd.,I-75 S,Miamisburg,Montgomery,OH,45342,US,US/Eastern,KMGY,2016-03-10 16:35:00,60.1,,93.0,29.96,2.0,SSW,6.9,0.07,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-662,Source2,3,2016-03-15 08:13:31,2016-03-15 08:43:31,41.407391,-81.64676700000003,,,0.01,Left hand shoulder blocked due to accident on I-480 Westbound at Exit 20A-B I-77.,Outerbelt South Fwy W,Independence,Cuyahoga,OH,44131,US,US/Eastern,KBKL,2016-03-15 07:53:00,43.0,37.7,97.0,29.81,0.8,WSW,9.2,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-726,Source2,3,2016-03-18 16:59:00,2016-03-18 21:00:00,40.120651,-82.973045,,,0.01,Right lane blocked due to accident on I-71 Southbound at Exits 119 119A 119B I-270 Outerbelt.,North Fwy S,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,2016-03-18 16:51:00,53.1,,26.0,30.01,10.0,NW,18.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-860,Source2,2,2016-06-22 11:02:15,2016-06-22 11:32:15,38.149895,-122.451241,,,0.0,Slow lane blocked due to accident on CA-37 Sears Point Rd Westbound at CA-121 Arnold Dr.,Sears Point Rd,Petaluma,Sonoma,CA,94954,US,US/Pacific,KO69,2016-06-22 10:55:00,68.0,,52.0,30.0,9.0,WNW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-889,Source2,3,2016-06-22 12:29:21,2016-06-22 12:59:21,37.687485,-122.133484,,,0.0,Right hand shoulder blocked due to accident on I-238 Northbound at I-880.,Nimitz Fwy S,San Leandro,Alameda,CA,94579,US,US/Pacific,KHWD,2016-06-22 12:54:00,64.0,,60.0,30.05,10.0,West,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1106,Source2,3,2016-06-24 10:15:39,2016-06-24 10:45:39,37.910786,-122.31713899999998,,,0.0,Left lane blocked due to accident on I-80 Westbound at Exit 14B Carlson Blvd.,I-80 E,Richmond,Contra Costa,CA,94804,US,US/Pacific,KCCR,2016-06-24 09:53:00,73.0,,42.0,30.03,10.0,NW,6.9,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-1594,Source2,2,2016-06-28 20:31:51,2016-06-28 21:31:51,38.423725,-121.395569,,,0.0,Right hand shoulder blocked due to accident on CA-99 Northbound at Exit 287 / Bond Rd / Laguna Blvd.,Laguna Blvd,Elk Grove,Sacramento,CA,95758,US,US/Pacific,KSAC,2016-06-28 20:53:00,82.0,,35.0,29.85,10.0,South,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1620,Source2,2,2016-06-29 07:20:30,2016-06-29 08:20:30,37.75404,-121.485123,,,0.0,Accident on County Hwy-J4 Byron Rd at County Hwy-J4 Byron Rd.,W Grant Line Rd,Tracy,San Joaquin,CA,95304,US,US/Pacific,KSCK,2016-06-29 06:55:00,68.0,,52.0,29.88,10.0,NNW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1770,Source2,2,2016-06-30 11:53:12,2016-06-30 12:38:12,38.641907,-121.156425,,,0.0,Accident on US-50 at Exit 25 Prairie City Rd.,US-50 E,Folsom,Sacramento,CA,95630,US,US/Pacific,KMHR,2016-06-30 11:50:00,87.8,,27.0,29.83,10.0,West,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1790,Source2,2,2016-06-30 13:59:37,2016-06-30 14:44:37,38.839073,-121.306923,,,0.0,Accident on Industrial Ave at Athens Ave.,Industrial Ave,Rocklin,Placer,CA,95765,US,US/Pacific,KLHM,2016-06-30 13:55:00,96.8,,20.0,29.78,10.0,West,4.6,,Clear,False,False,True,False,False,False,True,False,False,False,False,True,False,Day,Day,Day,Day
A-1849,Source2,2,2016-06-30 22:22:06,2016-06-30 22:52:06,37.66708,-122.39521,,,0.0,Accident on US-101 at Exits 425B 425C 426A 426B Oyster Point Blvd.,US-101 N,South San Francisco,San Mateo,CA,94080,US,US/Pacific,KSFO,2016-06-30 21:56:00,57.0,,74.0,29.84,8.0,WNW,18.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1947,Source2,3,2016-07-02 23:49:03,2016-07-03 00:19:03,38.091572,-122.230301,,,0.0,One lane blocked due to accident on I-780 Westbound at Exits 1A 1B 1C I-80. Expect delays.,I-80 E,Vallejo,Solano,CA,94591,US,US/Pacific,KAPC,2016-07-02 23:54:00,55.0,,93.0,29.95,10.0,SSW,10.4,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2076,Source2,2,2016-07-04 18:23:32,2016-07-04 19:38:32,37.646,-121.414276,,,0.0,Accident on CA-132 Vernalis Rd Eastbound at I-580.,I-580 E,Tracy,San Joaquin,CA,95377,US,US/Pacific,KLVK,2016-07-04 18:53:00,75.0,,46.0,29.92,10.0,NW,15.0,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2244,Source2,3,2016-07-06 10:11:49,2016-07-06 10:56:49,37.831749,-122.003883,,,0.0,Right hand shoulder blocked due to accident on I-680 Northbound at Exit 40 El Cerro Blvd.,I-680 N,Danville,Contra Costa,CA,94526,US,US/Pacific,KCCR,2016-07-06 09:53:00,64.0,,58.0,29.94,10.0,SSW,17.3,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2343,Source2,2,2016-07-07 03:01:28,2016-07-07 04:01:28,38.079857,-122.546234,,,0.0,Right hand shoulder blocked due to accident on CA-37 Westbound at US-101 Redwood Hwy.,CA-37 W,Novato,Marin,CA,94947,US,US/Pacific,KDVO,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2348,Source2,3,2016-07-07 04:33:11,2016-07-07 05:18:11,38.045143,-122.238029,,,0.0,Right hand shoulder blocked due to accident on I-80 Eastbound at Exit 26 Cummings Skwy.,Cummings Skwy,Crockett,Contra Costa,CA,94525,US,US/Pacific,KCCR,2016-07-07 04:53:00,55.9,,77.0,29.9,10.0,South,18.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-2559,Source2,2,2016-07-08 20:56:18,2016-07-08 22:11:18,38.663132,-121.382828,,,0.0,Queueing traffic due to accident on Airbase Dr at Watt Ave.,Watt Ave,North Highlands,Sacramento,CA,95660,US,US/Pacific,KMCC,2016-07-08 20:55:00,77.0,,39.0,29.92,10.0,South,9.2,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-2799,Source2,2,2016-07-12 11:46:30,2016-07-12 12:16:30,37.553684,-122.296257,,,0.0,Accident on US-101 Northbound at Exit 414B CA-92.,US-101 N,San Mateo,San Mateo,CA,94403,US,US/Pacific,KSQL,2016-07-12 11:47:00,68.0,,52.0,30.01,10.0,West,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3269,Source2,3,2016-07-15 22:55:02,2016-07-15 23:40:02,37.655937,-120.921181,,,0.0,Accident on Gomes Rd near Claus Rd.,Claus Rd,Modesto,Stanislaus,CA,95357,US,US/Pacific,KMOD,2016-07-15 22:53:00,81.0,,35.0,29.81,10.0,North,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3379,Source2,2,2016-07-18 11:36:23,2016-07-18 12:22:01,36.86377,-121.444023,,,0.0,Right hand shoulder blocked due to accident on CA-156 Southbound at Buena Vista Rd.,Buena Vista Rd,Hollister,San Benito,CA,95023-9003,US,US/Pacific,KCVH,2016-07-18 11:30:00,69.8,,60.0,30.1,10.0,West,9.2,,Clear,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-3422,Source2,2,2016-07-18 18:27:44,2016-07-18 19:42:44,38.690498,-121.406006,,,0.0,Accident on 26th St at County Hwy-E14 Elkhorn Blvd.,Elkhorn Blvd,Rio Linda,Sacramento,CA,95673,US,US/Pacific,KMCC,2016-07-18 18:35:00,80.6,,34.0,29.98,10.0,South,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3573,Source2,2,2016-07-20 16:32:54,2016-07-20 17:47:54,38.496376,-121.098663,,,0.0,Accident on Murieta Dr at CA-16 Jackson Rd.,Jackson Rd,Sloughhouse,Sacramento,CA,95683,US,US/Pacific,KMHR,2016-07-20 16:45:00,93.2,,19.0,29.94,10.0,WSW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-3596,Source2,2,2016-07-20 21:51:22,2016-07-20 23:06:22,38.678249,-121.209816,,,0.0,Accident on County Hwy-E14 Greenback Ln at County Hwy-E14 Greenback Ln.,Greenback Ln,Orangevale,Sacramento,CA,95662-4801,US,US/Pacific,KMCC,2016-07-20 21:55:00,73.4,,33.0,29.97,10.0,South,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-3785,Source2,2,2016-07-22 11:03:45,2016-07-22 11:33:45,38.387268,-122.716286,,,0.0,Right hand shoulder blocked and middle lane blocked due to accident on US-101 Southbound before Exit 485 Todd Rd.,Redwood Hwy S,Santa Rosa,Sonoma,CA,95407,US,US/Pacific,KSTS,2016-07-22 10:53:00,73.0,,46.0,30.08,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3920,Source2,3,2016-07-23 03:38:43,2016-07-23 04:23:43,37.931957,-122.402733,,,0.0,Accident on I-580 Eastbound at Exit 7A Western Dr.,Richmond-San Rafael Brg,Richmond,Contra Costa,CA,94801,US,US/Pacific,KCCR,2016-07-23 03:53:00,62.1,,72.0,29.91,10.0,NNW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3982,Source2,3,2016-07-23 20:22:26,2016-07-23 21:22:26,38.640575,-121.477364,,,0.0,Right hand shoulder blocked due to accident on I-80 Westbound at Exit 89 Northgate Blvd.,I-80 E,Sacramento,Sacramento,CA,95834,US,US/Pacific,KMCC,2016-07-23 20:15:00,93.2,,21.0,29.79,10.0,SW,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4026,Source2,2,2016-07-24 15:06:53,2016-07-24 16:36:53,37.791866,-122.469635,,,0.0,Accident on Lake St Northbound at CA-1 Park Presidio Blvd.,State Highway 1,San Francisco,San Francisco,CA,94129,US,US/Pacific,KSFO,2016-07-24 14:56:00,68.0,,56.0,29.87,10.0,WNW,24.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4029,Source2,2,2016-07-24 15:20:04,2016-07-24 16:50:04,37.513786,-122.493446,,,0.0,Accident on CA-1 Cabrillo Hwy Northbound at Capistrano Rd.,Cabrillo Hwy N,Half Moon Bay,San Mateo,CA,94019,US,US/Pacific,KHAF,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4234,Source2,2,2016-07-26 09:04:27,2016-07-26 09:34:27,38.013943,-121.876045,,,0.0,Left hand shoulder blocked due to accident on CA-4 Westbound before Exit 23 California Ave.,CA-4 W,Pittsburg,Contra Costa,CA,94565,US,US/Pacific,KCCR,2016-07-26 08:53:00,71.1,,55.0,29.88,10.0,Variable,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4281,Source2,2,2016-07-26 12:51:17,2016-07-26 13:21:17,37.119865,-121.975967,,,0.0,Right hand shoulder blocked due to accident on CA-17 Santa Cruz Hwy Southbound at Glenwood Dr.,Santa Cruz Hwy,Los Gatos,Santa Cruz,CA,95033,US,US/Pacific,KSJC,2016-07-26 12:53:00,89.6,,29.0,29.87,10.0,Calm,,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4329,Source2,3,2016-07-26 19:06:37,2016-07-26 19:36:37,37.559978,-122.034531,,,0.0,Accident on I-880 Northbound at Exit 19 CA-84 Thornton Ave.,CA-84 W,Newark,Alameda,CA,94560,US,US/Pacific,KPAO,2016-07-26 18:47:00,78.8,,51.0,29.82,10.0,NNW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4558,Source2,2,2016-07-28 14:09:40,2016-07-28 14:54:40,37.552235,-122.308876,,,0.0,Accident on CA-92 Eastbound at Exit 12C Delaware St.,J Arthur Younger Fwy W,San Mateo,San Mateo,CA,94402,US,US/Pacific,KSQL,2016-07-28 13:47:00,75.2,,53.0,29.9,10.0,North,6.9,,Partly Cloudy,False,False,True,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day
A-4657,Source2,3,2016-07-29 08:12:50,2016-07-29 08:57:50,37.851349,-122.028984,,,0.0,Right hand shoulder blocked due to accident on I-680 Southbound before Stone Valley Rd.,I-680 S,Alamo,Contra Costa,CA,94507,US,US/Pacific,KCCR,2016-07-29 07:53:00,63.0,,70.0,29.81,10.0,NNW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4788,Source2,2,2016-07-30 00:16:45,2016-07-30 00:46:45,37.639278,-122.097,,,0.0,Queueing traffic due to accident on CA-92 Jackson St Westbound at Exits 26A 26B I-880.,W Jackson St,Hayward,Alameda,CA,94545,US,US/Pacific,KHWD,2016-07-30 00:54:00,59.0,,78.0,29.83,10.0,NW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4836,Source2,2,2016-07-30 12:44:31,2016-07-30 13:50:00,38.088154,-122.214333,,,0.0,Accident on Renida St at Warren Ave.,Warren Ave,Vallejo,Solano,CA,94591-7511,US,US/Pacific,KAPC,2016-07-30 12:54:00,73.0,,55.0,29.81,10.0,SSW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4959,Source2,2,2016-08-01 02:11:09,2016-08-01 03:11:09,38.022533,-121.965775,,,0.0,Lane blocked due to accident on CA-4 Eastbound at Exit 19 Willow Pass Rd.,Willow Pass Rd,Pittsburg,Contra Costa,CA,94565,US,US/Pacific,KCCR,2016-08-01 01:53:00,60.1,,75.0,29.87,10.0,WSW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5010,Source2,2,2016-08-01 13:29:00,2016-08-01 14:59:00,38.014961,-122.269531,,,0.0,Accident on CA-4 Westbound at I-80.,I-80 W,Hercules,Contra Costa,CA,94547,US,US/Pacific,KCCR,2016-08-01 13:53:00,81.0,,35.0,29.88,10.0,WNW,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5248,Source2,3,2016-12-01 19:42:33,2016-12-01 20:12:21,37.608707,-122.068192,,,0.01,Accident on I-880 Southbound at Exit 24 Whipple Rd.,Nimitz Fwy S,Union City,Alameda,CA,94587,US,US/Pacific,KHWD,2016-12-01 19:54:00,48.9,,59.0,30.14,10.0,NE,6.9,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5405,Source2,3,2016-12-02 20:33:58,2016-12-02 21:03:42,37.462299,-121.90251200000002,,,0.01,Accident on I-680 Southbound at Exit 10 Scott Creek Rd.,I-680 S,Milpitas,Santa Clara,CA,95035,US,US/Pacific,KSJC,2016-12-02 20:53:00,53.1,,37.0,30.21,10.0,West,9.2,,Clear,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6049,Source2,2,2016-12-07 17:30:29,2016-12-07 18:00:13,37.488846,-122.212852,,,0.01,#1 lane blocked due to accident on Woodside Rd Southbound at CA-84 Woodside Rd.,Woodside Rd,Redwood City,San Mateo,CA,94063,US,US/Pacific,KSQL,2016-12-07 17:47:00,50.0,,66.0,30.12,10.0,ESE,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-6094,Source2,2,2016-12-07 21:30:17,2016-12-07 21:59:57,37.41072800000001,-121.992172,,,0.01,#4 lane blocked due to accident on CA-237 Westbound at Exit 5 County Hwy-G2 Lawrence Expy.,CA-237 W,Sunnyvale,Santa Clara,CA,94089,US,US/Pacific,KNUQ,2016-12-07 21:56:00,50.0,,77.0,30.12,10.0,ESE,6.9,0.01,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6130,Source2,2,2016-12-08 02:21:13,2016-12-08 03:05:44,36.859879,-121.604027,,,0.01,Lane blocked due to accident on US-101 Southbound at Rocks Rd.,Cannon Rd,San Juan Bautista,San Benito,CA,95045,US,US/Pacific,KCVH,2016-12-08 02:30:00,48.2,,87.0,30.11,10.0,NE,3.5,,Overcast,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night
A-6132,Source2,3,2016-12-08 02:51:25,2016-12-08 03:36:00,37.838181,-122.296638,,,0.01,Slow lane blocked due to accident on I-80 I-580 Eastbound at Exit 9 I-580.,I-80 W,Emeryville,Alameda,CA,94608,US,US/Pacific,KOAK,2016-12-08 02:53:00,48.0,,100.0,30.06,3.0,NNE,4.6,0.06,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6187,Source2,2,2016-12-08 10:19:36,2016-12-08 10:49:16,37.448486,-122.122726,,,0.01,Accident on US-101 Southbound at Exit 402 Embarcadero Rd.,Bayshore Fwy S,Palo Alto,Santa Clara,CA,94303,US,US/Pacific,KPAO,2016-12-08 10:47:00,60.8,,82.0,30.12,10.0,SE,17.3,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6355,Source2,3,2016-12-08 20:45:53,2016-12-08 21:15:32,37.318085,-121.978096,,,0.01,#2 lane blocked due to accident on I-280 Northbound at Exit 7 Saratoga Ave.,Junipero Serra Fwy N,San Jose,Santa Clara,CA,95129,US,US/Pacific,KSJC,2016-12-08 20:53:00,60.1,,83.0,30.18,10.0,SE,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6550,Source2,3,2016-12-09 18:01:49,2016-12-09 18:29:06,37.82193400000001,-121.291641,,,0.01,Accident on I-5 Northbound at Exit 463 Lathrop Rd.,I-5 N,Lathrop,San Joaquin,CA,95330,US,US/Pacific,KSCK,2016-12-09 17:55:00,59.0,,90.0,30.16,10.0,East,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-6561,Source2,2,2016-12-09 18:52:50,2016-12-09 19:22:34,38.414387,-122.658577,,,0.01,#1 lane blocked due to accident on Bennett Valley Rd at Mitchell Rd.,Mitchell Rd,Santa Rosa,Sonoma,CA,95404,US,US/Pacific,KSTS,2016-12-09 18:53:00,57.0,,93.0,30.1,10.0,South,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6584,Source2,3,2016-12-09 20:43:23,2016-12-09 21:12:47,37.651657,-122.098671,,,0.01,Accident on I-880 Southbound at Exit 28 Winton Ave.,Nimitz Fwy S,Hayward,Alameda,CA,94545,US,US/Pacific,KHWD,2016-12-09 20:54:00,62.1,,72.0,30.17,10.0,South,4.6,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6759,Source2,2,2016-12-11 15:31:55,2016-12-11 16:16:55,37.349182,-121.861198,,,0.01,Accident on US-101 Southbound at Exits 386A 386B Santa Clara St.,US-101 S,San Jose,Santa Clara,CA,95116,US,US/Pacific,KRHV,2016-12-11 15:56:00,53.6,,62.0,30.17,10.0,WNW,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7064,Source2,3,2016-12-14 09:04:20,2016-12-14 09:33:51,38.025764,-122.259537,,,0.01,Delays due to accident on I-80 Westbound at Exit 24 Willow Ave.,I-80 W,Rodeo,Contra Costa,CA,94572,US,US/Pacific,KCCR,2016-12-14 08:53:00,50.0,,89.0,30.02,3.0,NNW,4.6,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7076,Source2,2,2016-12-14 09:49:08,2016-12-14 10:18:38,38.280071,-122.265549,,,0.01,Accident on Imola Ave at Parrish Rd.,Parrish Rd,Napa,Napa,CA,94559-4232,US,US/Pacific,KAPC,2016-12-14 09:54:00,55.9,,90.0,30.02,8.0,Calm,,,Overcast,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7084,Source2,3,2016-12-14 11:01:09,2016-12-14 11:30:36,37.668953,-122.10939,,,0.01,Accident on I-880 Southbound near Exit 29 A St.,Nimitz Fwy S,Hayward,Alameda,CA,94541,US,US/Pacific,KHWD,2016-12-14 10:54:00,63.0,,67.0,30.07,10.0,South,10.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
